caminho_relativo,nome_arquivo,extensao,tamanho_bytes,tamanho_legivel,data_modificacao,data_criacao,path,path_l,name_l,categoria_sugerida,dup_tipo
30_posts_dra_karina_planilha.xlsx,30_posts_dra_karina_planilha.xlsx,.xlsx,22870,22.33 KB,2025-12-22 11:34,2025-12-22 11:34,30_posts_dra_karina_planilha.xlsx,30_posts_dra_karina_planilha.xlsx,30_posts_dra_karina_planilha.xlsx,CONTEUDO_INSTAGRAM,MESMO_NOME_EXT
2_ARQUIVOS_SOLTOS\CSVs\Calendario_SEOGRAM_90dias_Karina_Rodovansky.csv,Calendario_SEOGRAM_90dias_Karina_Rodovansky.csv,.csv,38327,37.43 KB,2025-12-19 14:49,2025-12-27 22:21,2_ARQUIVOS_SOLTOS\CSVs\Calendario_SEOGRAM_90dias_Karina_Rodovansky.csv,2_arquivos_soltos\csvs\calendario_seogram_90dias_karina_rodovansky.csv,calendario_seogram_90dias_karina_rodovansky.csv,CONTEUDO_INSTAGRAM,MESMO_NOME_EXT_TAMANHO
2_ARQUIVOS_SOLTOS\CSVs\Calendario_SEOGRAM_90dias_Karina_Rodovansky.csv,Calendario_SEOGRAM_90dias_Karina_Rodovansky.csv,.csv,38327,37.43 KB,2025-12-19 14:49,2025-12-27 22:21,2_ARQUIVOS_SOLTOS\CSVs\Calendario_SEOGRAM_90dias_Karina_Rodovansky.csv,2_arquivos_soltos\csvs\calendario_seogram_90dias_karina_rodovansky.csv,calendario_seogram_90dias_karina_rodovansky.csv,CONTEUDO_INSTAGRAM,MESMO_NOME_EXT
Calendario_SEOGRAM_90dias_Karina_Rodovansky.csv,Calendario_SEOGRAM_90dias_Karina_Rodovansky.csv,.csv,38327,37.43 KB,2025-12-19 14:49,2025-12-28 11:30,Calendario_SEOGRAM_90dias_Karina_Rodovansky.csv,calendario_seogram_90dias_karina_rodovansky.csv,calendario_seogram_90dias_karina_rodovansky.csv,CONTEUDO_INSTAGRAM,MESMO_NOME_EXT_TAMANHO
Calendario_SEOGRAM_90dias_Karina_Rodovansky.csv,Calendario_SEOGRAM_90dias_Karina_Rodovansky.csv,.csv,38327,37.43 KB,2025-12-19 14:49,2025-12-28 11:30,Calendario_SEOGRAM_90dias_Karina_Rodovansky.csv,calendario_seogram_90dias_karina_rodovansky.csv,calendario_seogram_90dias_karina_rodovansky.csv,CONTEUDO_INSTAGRAM,MESMO_NOME_EXT
2_ARQUIVOS_SOLTOS\DOCXs\DOSSIÊ DE AUTORIDADE DIGITAL — Harmonização Íntima & Ninfoplastia (Aurora Tigre).docx,DOSSIÊ DE AUTORIDADE DIGITAL — Harmonização Íntima & Ninfoplastia (Aurora Tigre).docx,.docx,17410,17 KB,2025-12-22 14:44,2025-12-27 22:21,2_ARQUIVOS_SOLTOS\DOCXs\DOSSIÊ DE AUTORIDADE DIGITAL — Harmonização Íntima & Ninfoplastia (Aurora Tigre).docx,2_arquivos_soltos\docxs\dossiê de autoridade digital — harmonização íntima & ninfoplastia (aurora tigre).docx,dossiê de autoridade digital — harmonização íntima & ninfoplastia (aurora tigre).docx,FINANCEIRO/ADMIN,MESMO_NOME_EXT_TAMANHO
2_ARQUIVOS_SOLTOS\DOCXs\DOSSIÊ DE AUTORIDADE DIGITAL — Harmonização Íntima & Ninfoplastia (Aurora Tigre).docx,DOSSIÊ DE AUTORIDADE DIGITAL — Harmonização Íntima & Ninfoplastia (Aurora Tigre).docx,.docx,17410,17 KB,2025-12-22 14:44,2025-12-27 22:21,2_ARQUIVOS_SOLTOS\DOCXs\DOSSIÊ DE AUTORIDADE DIGITAL — Harmonização Íntima & Ninfoplastia (Aurora Tigre).docx,2_arquivos_soltos\docxs\dossiê de autoridade digital — harmonização íntima & ninfoplastia (aurora tigre).docx,dossiê de autoridade digital — harmonização íntima & ninfoplastia (aurora tigre).docx,FINANCEIRO/ADMIN,MESMO_NOME_EXT
DOSSIÊ DE AUTORIDADE DIGITAL — Harmonização Íntima & Ninfoplastia (Aurora Tigre).docx,DOSSIÊ DE AUTORIDADE DIGITAL — Harmonização Íntima & Ninfoplastia (Aurora Tigre).docx,.docx,17410,17 KB,2025-12-22 14:44,2025-12-22 14:44,DOSSIÊ DE AUTORIDADE DIGITAL — Harmonização Íntima & Ninfoplastia (Aurora Tigre).docx,dossiê de autoridade digital — harmonização íntima & ninfoplastia (aurora tigre).docx,dossiê de autoridade digital — harmonização íntima & ninfoplastia (aurora tigre).docx,FINANCEIRO/ADMIN,MESMO_NOME_EXT_TAMANHO
DOSSIÊ DE AUTORIDADE DIGITAL — Harmonização Íntima & Ninfoplastia (Aurora Tigre).docx,DOSSIÊ DE AUTORIDADE DIGITAL — Harmonização Íntima & Ninfoplastia (Aurora Tigre).docx,.docx,17410,17 KB,2025-12-22 14:44,2025-12-22 14:44,DOSSIÊ DE AUTORIDADE DIGITAL — Harmonização Íntima & Ninfoplastia (Aurora Tigre).docx,dossiê de autoridade digital — harmonização íntima & ninfoplastia (aurora tigre).docx,dossiê de autoridade digital — harmonização íntima & ninfoplastia (aurora tigre).docx,FINANCEIRO/ADMIN,MESMO_NOME_EXT
2_ARQUIVOS_SOLTOS\Markdowns\Guia_Uso_Hashtags_Karina_2024-2025.md,Guia_Uso_Hashtags_Karina_2024-2025.md,.md,12202,11.92 KB,2025-12-23 21:31,2025-12-27 22:21,2_ARQUIVOS_SOLTOS\Markdowns\Guia_Uso_Hashtags_Karina_2024-2025.md,2_arquivos_soltos\markdowns\guia_uso_hashtags_karina_2024-2025.md,guia_uso_hashtags_karina_2024-2025.md,CONTEUDO_INSTAGRAM,MESMO_NOME_EXT_TAMANHO
