"caminho_relativo","nome_arquivo","extensao","tamanho_bytes","tamanho_legivel","data_modificacao","data_criacao"
"protocolo-11-2-authority-building.md","protocolo-11-2-authority-building.md",".md","3621","3.54 KB","2025-12-27 19:42","2025-12-27 19:42"
"protocolo-11-3-niche-monetization.md","protocolo-11-3-niche-monetization.md",".md","3064","2.99 KB","2025-12-27 19:42","2025-12-27 19:42"
"protocolo-12-1-paid-ads-strategy.md","protocolo-12-1-paid-ads-strategy.md",".md","2629","2.57 KB","2025-12-27 19:42","2025-12-27 19:42"
"protocolo-12-2-instagram-facebook-ads.md","protocolo-12-2-instagram-facebook-ads.md",".md","2792","2.73 KB","2025-12-27 19:42","2025-12-27 19:42"
"protocolo-12-3-ads-optimization.md","protocolo-12-3-ads-optimization.md",".md","3134","3.06 KB","2025-12-27 19:42","2025-12-27 19:42"
"protocolo-2-1-carrossel-geral.md","protocolo-2-1-carrossel-geral.md",".md","3974","3.88 KB","2025-12-27 19:39","2025-12-27 19:39"
"protocolo-2-2-carrossel-salvamento.md","protocolo-2-2-carrossel-salvamento.md",".md","2205","2.15 KB","2025-12-27 19:39","2025-12-27 19:39"
"protocolo-2-3-carrossel-alcance.md","protocolo-2-3-carrossel-alcance.md",".md","2463","2.41 KB","2025-12-27 19:39","2025-12-27 19:39"
"protocolo-2-4-carrossel-seguidores.md","protocolo-2-4-carrossel-seguidores.md",".md","2859","2.79 KB","2025-12-27 19:39","2025-12-27 19:39"
"protocolo-3-1-stories-geral.md","protocolo-3-1-stories-geral.md",".md","2682","2.62 KB","2025-12-27 19:39","2025-12-27 19:39"
"protocolo-3-2-stories-highlights.md","protocolo-3-2-stories-highlights.md",".md","2081","2.03 KB","2025-12-27 19:39","2025-12-27 19:39"
"protocolo-3-3-stories-interativo.md","protocolo-3-3-stories-interativo.md",".md","2001","1.95 KB","2025-12-27 19:39","2025-12-27 19:39"
"protocolo-3-4-stories-seguidores.md","protocolo-3-4-stories-seguidores.md",".md","2541","2.48 KB","2025-12-27 19:39","2025-12-27 19:39"
"protocolo-4-1-legendas-geral.md","protocolo-4-1-legendas-geral.md",".md","2960","2.89 KB","2025-12-27 19:39","2025-12-27 19:39"
"protocolo-4-2-legendas-valor.md","protocolo-4-2-legendas-valor.md",".md","2362","2.31 KB","2025-12-27 19:40","2025-12-27 19:40"
"protocolo-4-3-legendas-conversao.md","protocolo-4-3-legendas-conversao.md",".md","2699","2.64 KB","2025-12-27 19:40","2025-12-27 19:40"
"protocolo-5-1-estrategia-calendario.md","protocolo-5-1-estrategia-calendario.md",".md","3789","3.7 KB","2025-12-27 19:40","2025-12-27 19:40"
"protocolo-5-2-kpis-analytics.md","protocolo-5-2-kpis-analytics.md",".md","4119","4.02 KB","2025-12-27 19:40","2025-12-27 19:40"
"protocolo-5-3-escalacao-30-60-90 (1).md","protocolo-5-3-escalacao-30-60-90 (1).md",".md","4810","4.7 KB","2025-12-27 19:40","2025-12-27 19:40"
"protocolo-5-3-escalacao-30-60-90.md","protocolo-5-3-escalacao-30-60-90.md",".md","4810","4.7 KB","2025-12-27 19:40","2025-12-27 19:40"
"protocolo-6-1-replies-strategy.md","protocolo-6-1-replies-strategy.md",".md","2520","2.46 KB","2025-12-27 19:40","2025-12-27 19:40"
"protocolo-6-2-dm-strategy.md","protocolo-6-2-dm-strategy.md",".md","2036","1.99 KB","2025-12-27 19:41","2025-12-27 19:40"
"protocolo-6-3-community-rituals.md","protocolo-6-3-community-rituals.md",".md","2668","2.61 KB","2025-12-27 19:41","2025-12-27 19:41"
"protocolo-7-1-produtos-proprios.md","protocolo-7-1-produtos-proprios.md",".md","2632","2.57 KB","2025-12-27 19:41","2025-12-27 19:41"
"protocolo-7-2-afiliados.md","protocolo-7-2-afiliados.md",".md","2489","2.43 KB","2025-12-27 19:41","2025-12-27 19:41"
"protocolo-7-3-brand-deals.md","protocolo-7-3-brand-deals.md",".md","2913","2.84 KB","2025-12-27 19:41","2025-12-27 19:41"
"protocolo-alta-performance.md","protocolo-alta-performance.md",".md","34257","33.45 KB","2025-12-04 14:21","2025-12-28 11:30"
"protocolo-operacional-reels-viralizacao (1).md","protocolo-operacional-reels-viralizacao (1).md",".md","26871","26.24 KB","2025-12-27 19:38","2025-12-27 19:38"
"protocolo-operacional-reels-viralizacao.md","protocolo-operacional-reels-viralizacao.md",".md","26871","26.24 KB","2025-12-27 19:07","2025-12-27 19:07"
"protocolo_instagram_50k.md","protocolo_instagram_50k.md",".md","49526","48.37 KB","2025-12-23 20:18","2025-12-28 11:30"
"QUICK-REFERENCE-GUIDE.md","QUICK-REFERENCE-GUIDE.md",".md","8076","7.89 KB","2025-12-27 19:43","2025-12-27 19:43"
"QUICK-START-IMPRIMIVEL.md","QUICK-START-IMPRIMIVEL.md",".md","6994","6.83 KB","2025-12-27 19:43","2025-12-27 19:43"
"RELATORIO-COMPLETO-PORTUGUES.md","RELATORIO-COMPLETO-PORTUGUES.md",".md","48741","47.6 KB","2025-12-27 19:43","2025-12-27 19:43"
"RELATORIO_CONSOLIDACAO_2025-12-28_11-36-17.txt","RELATORIO_CONSOLIDACAO_2025-12-28_11-36-17.txt",".txt","6135","5.99 KB","2025-12-28 11:36","2025-12-28 11:36"
"resumo_executivo.md","resumo_executivo.md",".md","5072","4.95 KB","2025-12-22 11:34","2025-12-22 11:34"
"SISTEMA-COMPLETO-80-FUNCIONALIDADES.md","SISTEMA-COMPLETO-80-FUNCIONALIDADES.md",".md","26276","25.66 KB","2025-12-27 23:12","2025-12-27 23:12"
"SISTEMA-FINAL-INTEGRADO-COMPLETO.md","SISTEMA-FINAL-INTEGRADO-COMPLETO.md",".md","19371","18.92 KB","2025-12-27 19:42","2025-12-27 19:42"
"SQL-PARTE-2-DADOS-COMPLETOS.sql","SQL-PARTE-2-DADOS-COMPLETOS.sql",".sql","113811","111.14 KB","2025-12-28 02:21","2025-12-28 11:13"
"📚 BASES DE CONSULTA.md","📚 BASES DE CONSULTA.md",".md","12057","11.77 KB","2025-12-14 20:47","2025-12-28 11:30"
"🔧 PROTOCOLOS OBRIGATÓRIOS.md","🔧 PROTOCOLOS OBRIGATÓRIOS.md",".md","10269","10.03 KB","2025-12-14 20:47","2025-12-28 11:30"
"2_ARQUIVOS_SOLTOS\CSVs\Calendario_SEOGRAM_90dias_Karina_Rodovansky.csv","Calendario_SEOGRAM_90dias_Karina_Rodovansky.csv",".csv","38327","37.43 KB","2025-12-19 14:49","2025-12-27 22:21"
"2_ARQUIVOS_SOLTOS\CSVs\Karina-Rodovanski-Campaigns-Oct-24-2025-Nov-22-2025.csv","Karina-Rodovanski-Campaigns-Oct-24-2025-Nov-22-2025.csv",".csv","989","0.97 KB","2025-11-23 20:54","2025-12-27 22:21"
"2_ARQUIVOS_SOLTOS\DOCXs\CTAs Eficazes no Instagram para Público Brasileiro grok.docx","CTAs Eficazes no Instagram para Público Brasileiro grok.docx",".docx","17452","17.04 KB","2025-12-23 21:24","2025-12-27 22:21"
"2_ARQUIVOS_SOLTOS\DOCXs\DOSSIÊ DE AUTORIDADE DIGITAL — Harmonização Íntima & Ninfoplastia (Aurora Tigre).docx","DOSSIÊ DE AUTORIDADE DIGITAL — Harmonização Íntima & Ninfoplastia (Aurora Tigre).docx",".docx","17410","17 KB","2025-12-22 14:44","2025-12-27 22:21"
"2_ARQUIVOS_SOLTOS\DOCXs\GPT_System_Prompt_Dra_Karina_v1.docx","GPT_System_Prompt_Dra_Karina_v1.docx",".docx","18770","18.33 KB","2025-12-23 13:17","2025-12-27 22:21"
"2_ARQUIVOS_SOLTOS\DOCXs\Guia Completo de Automação do Instagram 2025_ 20 F.docx","Guia Completo de Automação do Instagram 2025_ 20 F.docx",".docx","2343869","2.24 MB","2025-11-19 04:10","2025-12-27 22:21"
"2_ARQUIVOS_SOLTOS\DOCXs\informações grok instagram (1).docx","informações grok instagram (1).docx",".docx","42895","41.89 KB","2025-12-22 13:54","2025-12-27 22:21"
"2_ARQUIVOS_SOLTOS\DOCXs\informações grok instagram.docx","informações grok instagram.docx",".docx","42895","41.89 KB","2025-12-22 13:54","2025-12-27 22:21"
"2_ARQUIVOS_SOLTOS\DOCXs\PLAYBOOK_MASTER_COMPLETO_KARINA.docx","PLAYBOOK_MASTER_COMPLETO_KARINA.docx",".docx","13606","13.29 KB","2025-12-18 20:10","2025-12-27 22:21"
"2_ARQUIVOS_SOLTOS\DOCXs\site_intimax_recriar (1).docx","site_intimax_recriar (1).docx",".docx","1979440","1.89 MB","2025-12-18 01:58","2025-12-27 22:21"
"2_ARQUIVOS_SOLTOS\DOCXs\site_intimax_recriar.docx","site_intimax_recriar.docx",".docx","1979440","1.89 MB","2025-12-16 16:03","2025-12-27 22:21"
"2_ARQUIVOS_SOLTOS\JSONs\120_CTAs_Premium_Intimax.json","120_CTAs_Premium_Intimax.json",".json","24109","23.54 KB","2025-12-23 21:21","2025-12-27 22:21"
"2_ARQUIVOS_SOLTOS\JSONs\biblioteca_hashtags_karina_pt1_autoridade.json","biblioteca_hashtags_karina_pt1_autoridade.json",".json","25114","24.53 KB","2025-12-23 21:30","2025-12-27 22:21"
"2_ARQUIVOS_SOLTOS\JSONs\biblioteca_hashtags_karina_pt2_temas2e3.json","biblioteca_hashtags_karina_pt2_temas2e3.json",".json","40777","39.82 KB","2025-12-23 21:30","2025-12-27 22:21"
"2_ARQUIVOS_SOLTOS\JSONs\biblioteca_hashtags_karina_pt3_temas4e5.json","biblioteca_hashtags_karina_pt3_temas4e5.json",".json","35770","34.93 KB","2025-12-23 21:31","2025-12-27 22:21"
"2_ARQUIVOS_SOLTOS\JSONs\biblioteca_hashtags_karina_pt4_tema6_completo.json","biblioteca_hashtags_karina_pt4_tema6_completo.json",".json","18005","17.58 KB","2025-12-23 21:31","2025-12-27 22:21"
"2_ARQUIVOS_SOLTOS\Markdowns\10-Funis-Vendas-KOMMO-Rodovansky.md","10-Funis-Vendas-KOMMO-Rodovansky.md",".md","45127","44.07 KB","2025-12-12 18:46","2025-12-27 22:21"
"2_ARQUIVOS_SOLTOS\Markdowns\20_posts_validados_karina.md","20_posts_validados_karina.md",".md","25470","24.87 KB","2025-12-22 11:13","2025-12-27 22:21"
"2_ARQUIVOS_SOLTOS\Markdowns\Analise-Sexologos-Conversas-WhatsApp-Instagram.md","Analise-Sexologos-Conversas-WhatsApp-Instagram.md",".md","12429","12.14 KB","2025-12-10 12:53","2025-12-27 22:21"
"2_ARQUIVOS_SOLTOS\Markdowns\API_REFERENCE_RODOVANSKY.md","API_REFERENCE_RODOVANSKY.md",".md","3681","3.59 KB","2025-12-21 22:49","2025-12-27 22:21"
"2_ARQUIVOS_SOLTOS\Markdowns\Blueprint-GPT-Conteudo-Instagram (1).md","Blueprint-GPT-Conteudo-Instagram (1).md",".md","21676","21.17 KB","2025-12-22 16:50","2025-12-27 22:21"
"2_ARQUIVOS_SOLTOS\Markdowns\Blueprint-GPT-Conteudo-Instagram.md","Blueprint-GPT-Conteudo-Instagram.md",".md","21676","21.17 KB","2025-12-22 16:04","2025-12-27 22:21"
"2_ARQUIVOS_SOLTOS\Markdowns\BLUEPRINT_EXPERIENCIA_PODCAST_RODOVANSKY (1).md","BLUEPRINT_EXPERIENCIA_PODCAST_RODOVANSKY (1).md",".md","39977","39.04 KB","2025-12-17 18:06","2025-12-27 22:21"
"2_ARQUIVOS_SOLTOS\Markdowns\BLUEPRINT_EXPERIENCIA_PODCAST_RODOVANSKY.md","BLUEPRINT_EXPERIENCIA_PODCAST_RODOVANSKY.md",".md","39977","39.04 KB","2025-12-17 17:35","2025-12-27 22:21"
"2_ARQUIVOS_SOLTOS\Markdowns\calendario-dra-karina-v1.md","calendario-dra-karina-v1.md",".md","6380","6.23 KB","2025-12-22 15:27","2025-12-27 22:21"
