"Name","Length","LastWriteTime","DirectoryName"
"instagram.com-250 (2).txt","8740","22/12/2025 13:36:16","C:\Users\lucas\Downloads\Telegram Desktop"
"instagram.com-250.txt","8740","22/12/2025 13:36:16","C:\Users\lucas\Downloads\Telegram Desktop"
"instagram.com.accounts.login.-250 (2).txt","9009","22/12/2025 13:36:16","C:\Users\lucas\Downloads\Telegram Desktop"
"instagram.com.accounts.login.-250.txt","9009","22/12/2025 13:36:16","C:\Users\lucas\Downloads\Telegram Desktop"
"API_REFERENCE_RODOVANSKY.md","3681","21/12/2025 22:49:09","C:\Users\lucas\Desktop"
"BLUEPRINT_EXPERIENCIA_PODCAST_RODOVANSKY (1).md","39977","17/12/2025 18:06:52","C:\Users\lucas\Desktop"
"MAPA_COMPLETO_ASSETS_RODOVANSKY.md","9971","21/12/2025 22:16:20","C:\Users\lucas\Desktop"
"LIB_10_OBJECOES_ESPECIFICAS_INTIMAX.md","24816","19/12/2025 13:19:45","C:\Users\lucas\Desktop\GPT_VENDAS_CLINICA"
"LIB_12_SCRIPTS_POR_CANAL_INTIMAX.md","23277","19/12/2025 13:19:55","C:\Users\lucas\Desktop\GPT_VENDAS_CLINICA"
"LIB_09_SEGURANCA_ETICA_SAUDE_INTIMAX.md","7641","19/12/2025 13:23:07","C:\Users\lucas\Desktop\GPT_VENDAS_CLINICA\BIBLIOTECA_SUPREMA_VENDAS_V3"
"Analise-Sexologos-Conversas-WhatsApp-Instagram.md","12429","10/12/2025 12:53:51","C:\Users\lucas\Desktop\material gpt vendas"
"manifesto-intimax-sculpt-oficial.md","38044","10/12/2025 16:26:09","C:\Users\lucas\Desktop\material gpt vendas"
"objecoes-harmonizacao-intima-masculina.md","44492","04/12/2025 14:20:58","C:\Users\lucas\Desktop\material gpt vendas"
"DIAGNOSTICO_REAL_PORTAL_RODOVANSKY.md","6250","21/12/2025 21:49:34","C:\Users\lucas\Desktop\Tudo site manus\ANALISE_CLAUDE\zip11_mais_recente"
"PLAYBOOK_MASTER_COMPLETO_KARINA.docx","13606","18/12/2025 20:10:50","C:\Users\lucas\Desktop\Materiais e midias instituto"
"RODOVANSKY-ACADEMY.pdf","3284268","17/12/2025 17:31:52","C:\Users\lucas\Desktop"
"INTIMAX_PAGINAS_4_5_6_7.pdf","167504","20/12/2025 10:29:12","C:\Users\lucas\Desktop\Nova pasta"
"METODO_INTIMAX_4_PAGINAS_SEPARADAS.pdf","3751360","20/12/2025 10:32:08","C:\Users\lucas\Desktop\Nova pasta"
"METODO_INTIMAX_SCULPT_COMPLETO.pdf","4822972","20/12/2025 10:33:56","C:\Users\lucas\Desktop\Nova pasta"
"METODO_INTIMAX_SCULPT_FINAL (1).pdf","67757","20/12/2025 10:28:58","C:\Users\lucas\Desktop\Nova pasta"
